0   -0.942118   [8.58868, -37.8776, 0.0786876]
1   -0.943804   [8.36281, -37.9785, 0.0854082]
2   -0.941786   [8.60121, -37.9243, 0.101697]
3   -0.942857   [8.58407, -38.0852, 0.282458]
4   -0.943911   [8.40712, -38.18, 0.150676]
5   -0.944741   [8.40811, -38.0709, 0.361927]
6   -0.940805   [8.21929, -37.936, 0.310195]
7   -0.941824   [7.99787, -37.8753, 0.2485]
8   -0.937168   [8.135, -38.0561, 0.186034]
9   -0.939529   [8.36022, -38.0709, 0.119272]
10   -0.941493   [8.4443, -37.9172, 0.276449]
11   -0.941593   [8.39151, -38.0072, 0.0680834]
12   -0.941072   [8.62189, -38.0117, 0.0571237]
13   -0.944032   [8.40275, -38.0724, 0.035962]
14   -0.941479   [8.4953, -37.8732, -0.0174542]
15   -0.941497   [8.69893, -37.8613, -0.114991]
16   -0.944812   [8.55742, -37.8588, -0.288406]
17   -0.946013   [8.74415, -37.7484, -0.333551]
18   -0.944896   [8.90278, -37.6226, -0.243393]
19   -0.943505   [8.81956, -37.4253, -0.186441]
20   -0.944789   [8.79892, -37.5428, -0.00230435]
21   -0.942352   [8.94759, -37.6172, 0.140816]
22   -0.942455   [8.87953, -37.7728, 0.00544702]
23   -0.939418   [8.99916, -37.5963, -0.0219183]
24   -0.9396   [8.98408, -37.4274, -0.154139]
25   -0.94169   [9.12977, -37.2833, -0.0888742]
26   -0.943358   [9.31568, -37.2136, -0.00638967]
27   -0.943199   [9.28548, -37.3514, 0.153032]
28   -0.943907   [9.27895, -37.1468, 0.203128]
29   -0.943441   [9.35125, -37.1323, 0.400546]
30   -0.943134   [9.19896, -37.2129, 0.28288]
31   -0.943816   [9.38395, -37.1237, 0.260791]
32   -0.943524   [9.21158, -37.1431, 0.369079]
33   -0.940722   [9.05936, -37.0401, 0.279421]
34   -0.940164   [9.25282, -37.0237, 0.222154]
35   -0.942181   [9.23542, -37.1817, 0.0968913]
36   -0.94342   [9.33434, -37.3539, 0.136096]
37   -0.945503   [9.33991, -37.5273, 0.0316488]
38   -0.945046   [9.25457, -37.4242, -0.117513]
39   -0.944055   [9.27112, -37.2588, -0.229494]
